sku,name,brand,price,currency,in_stock,category,colors
XPRS-00001,CardoO VR Max - Black,CardoO,1999.00,EGP,10,3D Glasses,Yellow|Black
XPRS-00002,hoco Cable 3.5mm to 3.5mm UPA24 Smooth audio AUX,Hoco,118.00,EGP,10,AUX Cables,Gold|Black|Red
XPRS-00003,Recci RDS-A26 Lightning to 3.5mm AUX Audio Cable,Recci,230.00,EGP,10,AUX Cables,Black|Gray
XPRS-00004,Recci RDS-A27 Type-C to 3.5mm AUX Audio Cable,Recci,230.00,EGP,10,AUX Cables,Black|Gray
XPRS-00005,WHOOP MG Life Health and Fitness Tracker (1 Year membership),WHOOP,26974.00,EGP,10,Activity Monitors,Silver|Black|Gold|Green|White|Gray
XPRS-00006,Hisense 1.5HP Inverter Cool & Heat AC – AC-12K-In,Hisense,29499.00,EGP,10,Air Conditioners,
XPRS-00007,Tornado 1.5HP Air Conditioner Cooling & Heating Inverter (TY-VX12BEE),Tornado,34799.00,EGP,10,Air Conditioners,White
XPRS-00008,Tornado Split Air Conditioner 2.25 HP Cool Only | Digital Super Jet White TH-C18BEE,Tornado,37299.00,EGP,10,Air Conditioners,White
XPRS-00009,Tornado Split Air Conditioner 2.25 HP Cool & Heat | Digital Super Jet White TY-C18BEE,Tornado,39699.00,EGP,10,Air Conditioners,White
XPRS-00010,Hisense 2.25HP Inverter Cool & Heat AC  – AC-18K-In,Hisense,42999.00,EGP,10,Air Conditioners,White
XPRS-00011,Tornado Split Air Conditioner 3 HP Cool Only | Digital Super Jet White TH-C24BEE,Tornado,44199.00,EGP,10,Air Conditioners,White
XPRS-00012,Hisense 3HP Inverter Cool & Heat AC  – AC-24K-In,Hisense,47999.00,EGP,10,Air Conditioners,White
XPRS-00013,Carrier Optimax Pro 3HP Split Air Conditioner Cool & Heat (53QHCT24N-708F),Carrier,50399.00,EGP,10,Air Conditioners,White
XPRS-00014,"Philips Digital Air Fryer, 3.2 Liters, 1300Watt With Rapid Air Technology, Analogue, Black - NA110/00",Philips,3399.00,EGP,10,Air Fryers,
XPRS-00015,"Xiaomi Mi Smart Air Fryer 3.5L, 1500W OLED Touch Screen - White",Xiaomi,5699.00,EGP,10,Air Fryers,
XPRS-00016,Bosch Series 6 Airfryer 1800W 7.2 L Digital Touch - Black - MAF671B0,Bosch,7399.00,EGP,10,Air Fryers,
XPRS-00017,"Xiaomi Air Fryer 6L, XXL Hot Air Fryer 1500W, 360° Hot Air Circulation - Black",Xiaomi,7999.00,EGP,10,Air Fryers,
XPRS-00018,Xiaomi Dual Zone Air Fryer 10L - Black - XI606HA27P27PNAFAMZ,Xiaomi,11799.00,EGP,10,Air Fryers,
XPRS-00019,Sharp Air Fryer Dual Cook 1800 Watt 8 Liter Electronic Touch Screen Glass Panel Stainless - KF-DF80RT-EK2,Sharp,12099.00,EGP,10,Air Fryers,
XPRS-00020,Xiaomi Smart Air Purifier 4 Lite-White,Xiaomi,9999.00,EGP,10,Air Purifiers,White
XPRS-00021,Momax Q.Clock 5 (QC5) Digital Clock With Wireless Charger - White,momax,6799.00,EGP,10,Alarm Clocks,
XPRS-00022,Choetech Lightning to 3.5mm Audio Adapter - White,Choetech,263.00,EGP,10,Audio & Video Cable Adapters & Couplers,White
XPRS-00023,Ugreen 3.5mm Male to 3.5mm male Cable Braid 2M - Black,Ugreen,277.00,EGP,10,Audio & Video Cables,Black
XPRS-00024,RODE Streamer X Audio Interface and Video Capture Card,RODE,18000.00,EGP,10,Audio Mixers,Multicolor|Black
XPRS-00025,RODE Caster Duo Integrated Audio Production Studio,RODE,36000.00,EGP,10,Audio Mixers,Black|Multicolor
XPRS-00026,RODE Caster Pro II Integrated Audio Production Studio,RODE,45000.00,EGP,10,Audio Mixers,
XPRS-00027,RODE Caster Video Video and Audio Production Console,RODE,70000.00,EGP,10,Audio Mixers,
XPRS-00028,"L’avvento BG816 Laptop Backpack – 15.6"" | Sleek & Comfortable for Everyday Carry",L'avvento,1113.00,EGP,10,Backpacks,
XPRS-00029,L’avvento Laptop Bag BG796 up to 15.6 laptop- Black | Sleek & Practical for Everyday Use,L'avvento,1288.00,EGP,10,Backpacks,
XPRS-00030,"L'avvento Laptop Backpack BG915 15.6"" - Black",L'avvento,1521.00,EGP,10,Backpacks,
XPRS-00031,"L’avvento Laptop Backpack BG916 up to 15.6"" - Black | Affordable Protection for Daily Life",L'avvento,1759.00,EGP,10,Backpacks,
XPRS-00032,CardoO Scale,CardoO,1999.00,EGP,10,Body Weight Scales,Black|White
XPRS-00033,CardoO Scale Pro - Gold,CardoO,3499.00,EGP,10,Body Weight Scales,Gold|Geometric
XPRS-00034,Tornado Vacuum Cleaner 1800 Watt Anti-bacteria Filter Grey x Black - TVC-180SG,Tornado,4399.00,EGP,10,Canister Vacs,Black|Gray
XPRS-00035,"Midea Vacuum Cleaner 16A, Silence system, Large dust capacity, Dust full indicator, Variable power control, Outlet HEPA filter, 3 Liters, Black and Red",Midea,6199.00,EGP,10,Canister Vacs,Black
XPRS-00036,Bosch Pro Power Bagless Vacuum 2000 Watt Cleaner Black BGS21WPOW,Bosch,8399.00,EGP,10,Canister Vacs,Black
XPRS-00037,"Bosch Series 4 Bagged vacuum cleaner ProAnimal, bagless 4LBGBS4PET1 - Red",Bosch,8699.00,EGP,10,Canister Vacs,Red
XPRS-00038,hoco Car charger Z36 Leader dual port set with cable Micro-usb - Black,Hoco,233.00,EGP,10,Car Chargers,
XPRS-00039,l'avvento Car Charger MP319 QC3 Dual USB 18W - White,L'avvento,233.00,EGP,10,Car Chargers,
XPRS-00040,Choetech QC3.0 Dual Port 36W Car Charger - Black,Choetech,249.00,EGP,10,Car Chargers,Black
XPRS-00041,hoco Car charger Z36 Leader dual port set with cable Type-c,Hoco,294.00,EGP,10,Car Chargers,White|Black
XPRS-00042,hoco Car charger Z36 Leader dual port set with cable Lightning,Hoco,294.00,EGP,10,Car Chargers,White|Black
XPRS-00043,L'avvento (MP328) Ultra-Fast QC3 PD Car Charger with Type-C - 38W - Black,L'avvento,409.00,EGP,10,Car Chargers,
XPRS-00044,Choetech PD 20W Dual-Port Car Charger - Black,Choetech,431.00,EGP,10,Car Chargers,Black
XPRS-00045,hoco Car charger Z57 Glorious 30W cable set C to C 1m,Hoco,527.00,EGP,10,Car Chargers,
XPRS-00046,RAVPower 2-port Car Charger 20W PD - Black,RAVPower,527.00,EGP,10,Car Chargers,Black
XPRS-00047,Anker Car Charger Ultra Compact Dual Port 30W | A2741H11 - Black,Anker,549.00,EGP,10,Car Chargers,Black
XPRS-00048,Choetech PD 40W Fast Car Charger Compact - Black,Choetech,584.00,EGP,10,Car Chargers,Black
XPRS-00049,hoco Car charger NZ5 Smooth road PD30W+QC3.0,Hoco,585.00,EGP,10,Car Chargers,
XPRS-00050,Ugreen 30W 2-Port Fast Car Charger - Black,Ugreen,633.00,EGP,10,Car Chargers,Black
XPRS-00051,Cellularline 40W Car Multipower Duo Charger - Black,Cellularline,638.00,EGP,10,Car Chargers,Black
XPRS-00052,Choetech PD40W fast Car Charger - Black,Choetech,747.00,EGP,10,Car Chargers,Black
XPRS-00053,Choetech PD+QC30W Fast Car Charger - Black,Choetech,791.00,EGP,10,Car Chargers,Black
XPRS-00054,Ugreen A+C Dual-Port Car Charger PD30W+SCP22.5W - Black,Ugreen,844.00,EGP,10,Car Chargers,Black
XPRS-00055,Choetech 60W Dual-Port Fast Car Charger - Black,Choetech,866.00,EGP,10,Car Chargers,Black
XPRS-00056,hoco Car charger NZ5 Smooth road PD30W+QC3.0 set with cable Type-c 1m,Hoco,936.00,EGP,10,Car Chargers,
XPRS-00057,Tornado Ceiling Fan 56 Inch 3 Blades - White - TCF56WW,Tornado,1699.00,EGP,10,Ceiling Fans,
XPRS-00058,Tornado Ceiling Fan 56 Inch With 3 Metal Blades And 5 Speeds - White - TCF56H,Tornado,2299.00,EGP,10,Ceiling Fans,White
XPRS-00059,Tornado Ceiling Fan 56 Inch LED 3 Blades - White - TCF56L,Tornado,2399.00,EGP,10,Ceiling Fans,
XPRS-00060,Recharged By Infinity FlexiCharge Eco Charging Station - 7KW,Infinity,21999.00,EGP,10,Charging Stations,White
XPRS-00061,Recharged By Infinity FlexiCharge Eco Charging Station - 22KW,Infinity,23940.00,EGP,10,Charging Stations,White
XPRS-00062,Recharged By Infinity FlexiCharge Prime Charging Station - 7KW,Infinity,29415.00,EGP,10,Charging Stations,Gray|Black
XPRS-00063,Recharged By Infinity FlexiCharge Prime Charging Station - 22KW,Infinity,31350.00,EGP,10,Charging Stations,Gray|Black|White
XPRS-00064,"Kenwood Turkish Coffee Maker, 500ml Capacity, 535W - Black/Red - CTP10.000BR",Kenwood,3199.00,EGP,10,Coffee Makers & Espresso Machines,Red
XPRS-00065,Arzum Okka Minio Pro Turkish Coffee Machine – Brown (OK0010),Arzum,3599.00,EGP,10,Coffee Makers & Espresso Machines,Brown
XPRS-00066,"Tornado Turkish Coffee Maker, 330ml – (TCME-100)",Tornado,3599.00,EGP,10,Coffee Makers & Espresso Machines,Red|Brown|Violet|Rose Gold
XPRS-00067,ZEWWW ELECTRIC SCOOTER ES500,Zewww,29999.00,EGP,10,Commuter E-Scooters,
XPRS-00068,hoco Keyboard + mouse set GM11 Terrific glowing RGB,Hoco,690.00,EGP,10,Computer Accessory Sets,Black|Multicolor|Gray
XPRS-00069,hoco Keyboard + mouse set GM12 Light and shadow RGB,Hoco,1816.00,EGP,10,Computer Accessory Sets,Black|Multicolor
XPRS-00070,V2Com P4 15.6″ Portable Screen,V2Com,7499.00,EGP,10,Computer Monitor Accessories,Black
XPRS-00071,V2Com S2 14″ FHD 1080P Triple Portable Screen Extender,V2Com,16999.00,EGP,10,Computer Monitor Accessories,Black
XPRS-00072,V2Com S6 15.6″ Triple Portable Screen Extender,V2Com,23999.00,EGP,10,Computer Monitor Accessories,Black|Gold|Beige
XPRS-00073,"V2Com W3 15.6"" Quad Screen Extender",V2Com,28000.00,EGP,10,Computer Monitor Accessories,
